user,created,device,phone_country,language,is_premium,has_been_premium,continent,country,region,city,postal_code
09bf76efc08af117ab40b93b714ce80bf4f2923d2ceeab4027ce22a30eab626a,2020-05-15 15:11:28 UTC,iOS,fr,fr,false,false,Europe,France,Grand Est,Strasbourg,
ecc0581d0f140704599d63f991caea6e8abfc18fce8065ea9c1d227599fe5bec,2018-09-10 12:38:22 UTC,Android,fr,fr,false,false,Europe,France,Ile-de-France,,
1133dfae778de4aee64e300e8687aa27ca2c394f0b5a4512043a5a9ec97b6f50,2019-11-01 06:46:20 UTC,iOS,es,es,false,false,Europe,Spain,Valencian Community,Valencia,
581cf28d1560883360d7f29c512f9807aa530639cd9952061f4ab50dd34917db,2019-10-27 10:45:38 UTC,iOS,es,es,false,false,Europe,Spain,Catalonia,Barcelona,
9f8551ee036bb4da1e34ad05831aaaddc587e6a474756952042cc6056a2c94db,2019-08-17 15:41:49 UTC,iOS,fr,fr,false,false,Europe,France,Grand Est,Charleville-Mezieres,
e4cd554bf8eedb3841b6d83a19a0911e60181a91ff834887ed55765992682842,2019-01-19 21:08:20 UTC,,,,false,false,Europe,France,Ile-de-France,Paris,
07344f440814ab9b16f5cff1cf59bd785f22b2f99d8312c40148248425bb364f,2019-10-23 21:34:31 UTC,iOS,es,es,false,false,Europe,Spain,Galicia,Ourense,
755668f8bbeb75c00be1656bc10ceb8b252ec5d04064d7d2498475e4ac746403,2019-10-27 17:05:08 UTC,Android,es,es,false,false,,,,,
1b960b9f6efb15d724f750aa58f5590d8d08ea4a84d6cd2a97022e23d82c8574,2018-09-25 10:50:37 UTC,Android,fr,fr,false,false,Europe,France,Ile-de-France,Paris,.
6069140244474a834e7e08187b0f2025c866dd02d397186627d90533fd7f599d,2021-02-18 16:57:55 UTC,Android,fr,fr,false,false,Europe,France,Auvergne-Rhone-Alpes,Meyzieu,
68ef1cfc665c170cfcd25d96314f7cd9a9a2caf773f1775d79d133e0c7cc1ab7,2019-03-17 20:02:40 UTC,,,,false,false,Europe,France,Ile-de-France,Paris,
202deca2173909ca5f674220042f012de4285ee45eedca5245fbabfb018ab459,2021-08-19 14:24:31 UTC,Android,es,es,false,false,Africa,Morocco,Oriental,Nador,
f87278d05fbf64f9e8357d99cb6684658994cb6670e297e06f8b342171f2a97f,2020-02-10 20:24:36 UTC,iOS,fr,fr,false,false,Europe,France,Pays de la Loire,(not set),85250
916fb0081b43ce8a490ba4b73877b6d6aa4cb815f97b77c22a9d3a5ff0311bdc,2020-06-24 12:23:11 UTC,Android,fr,fr,false,false,Europe,France,Nouvelle-Aquitaine,Poitiers,
dbc95b70c63ca0cda231b64c47574928195a9b072f6a1003343196a3267aeac5,2019-10-30 11:50:31 UTC,iOS,es,es,false,false,Europe,Spain,Madrid,Alcala de Henares,
dca0d4bdbc0b229738598c3252d8a8aff596772b1d7c660fc95a41304c8ddab0,2019-10-25 13:40:28 UTC,Android,fr,fr,false,false,Europe,France,Provence-Alpes-Cote d'Azur,Avignon,.
48f5371b0d9495800571b4c320f93688d84e1675f5b6a88cbe036501f67ab06f,2018-02-03 15:43:14 UTC,iOS,fr,fr,false,false,Europe,France,Auvergne-Rhone-Alpes,Lyon,.
c5166e7990f5708be29892972e11ca617055140c6851cc5a2b64bfce2e7c3cb6,2019-10-27 07:59:04 UTC,Android,es,en,false,false,Europe,Spain,Madrid,Madrid,
91787a0065a0030cd9386175a205274f3881af3a5485a779d01db8eefafcce49,2017-12-04 08:01:28 UTC,iOS,fr,fr,false,false,Europe,France,Ile-de-France,Paris,
d8b0fdb50c378a294584f380b92057e2a50e45ce4f0103ef36f66781e60be176,2021-10-30 20:02:18 UTC,iOS,fr,fr,false,false,Europe,France,Ile-de-France,Nozay,
0f4d06badcf4ab86dc8dfbd9e9c9bd388169a74d50bf73e677dcb35c933e8f49,2019-06-07 21:54:35 UTC,iOS,fr,fr,false,false,Europe,France,Ile-de-France,Paris,
d8f6813f22b89f729a4b3d8de0dbd35a499427c38f46d59ea6afbc1da46c0271,2017-05-29 20:53:30 UTC,Android,fr,fr,false,false,Europe,France,Ile-de-France,Paris,
a3ba0b8eb9b6b5a3152b3ef4d038ef33712e7a8da85d6f1504fef003e984e745,2021-02-20 08:15:35 UTC,iOS,ch,de,false,false,Europe,Switzerland,Zurich,Zurich,
6f355ba693265cd02eea905ff51bbbf0394149c1cb60e07e4d3549169efd3a8f,2019-05-08 22:59:40 UTC,iOS,fr,en,false,false,Europe,France,Ile-de-France,Creteil,
5dc98414a01eca70ac169f7b165431c3dbdd75ba5b16dc79880dc3ec04ae9637,2021-09-09 13:42:20 UTC,iOS,fr,fr,false,false,Europe,France,Ile-de-France,Choisy-le-Roi,
249099d7ff8a70aaeec7bf648fd14b33c0bc19ed1e2f7b0177b18d59b0e16710,2020-03-05 15:53:49 UTC,Android,es,es,false,false,Europe,Spain,Galicia,,.
72a339dc738b35b04a91879cf0e33458bb5b43743c141f83011592d61f68316c,2020-08-17 13:31:26 UTC,iOS,fr,fr,false,false,Europe,France,Hauts-de-France,Douai,.
861044b5ee0ca1c9fd5cd33fdfc4c5087c78877dd7c0ee9f3b8b2636caa1946c,2021-08-06 05:16:47 UTC,iOS,it,it,false,false,Europe,Italy,Veneto,Arzignano,
95fd3c7934a25eb518a47c069bf07f2257e776eb5cae7388a32093c1bd6a73af,2018-10-06 13:34:23 UTC,Android,fr,fr,false,false,Europe,France,Auvergne-Rhone-Alpes,Vaulx-en-Velin,.
4400bfe745c5f081fa0d2cf0d2f2387280da657307ea7a3fd45d49ec3033f7dc,2019-04-10 20:16:15 UTC,Android,fr,fr,false,false,Europe,France,Auvergne-Rhone-Alpes,Valence,.
c1c38af9f797f5ee36676ed6c91830c37e0e70194c57950285ec98bc674be52d,2021-01-28 21:36:32 UTC,Android,es,es,false,false,Europe,Spain,Andalusia,Seville,
951db24a08007b28c9602e274c604f6eda3a7e8fde0808ec613310c2609e570a,2019-07-11 16:00:59 UTC,iOS,be,fr,false,false,Europe,Belgium,Brussels,Brussels,
ead37a5ac9b168894e5a97cb5487afc6e8e4b38c82549e7c0f906b4a92c3eb59,2021-03-21 11:51:01 UTC,iOS,fr,en,false,false,Europe,France,Nouvelle-Aquitaine,,
30f2caf28f2abe79badf77d022ad849a4ce6dd394830968f8ca77d005d9ad0ee,2019-09-13 07:21:24 UTC,Android,fr,fr,false,false,Europe,France,Ile-de-France,Paris,
237249d348301327fb572e85d835b2c17a915c7de71b84d2d3dbf7159d57cbf9,2020-08-09 18:31:41 UTC,Android,fr,fr,false,false,Europe,France,Provence-Alpes-Cote d'Azur,Nice,
459e50a05b6996b4d0dda47857ff00bb5c5da13a69a029aee2744b742b4a093c,2021-05-25 10:55:52 UTC,Android,fr,fr,false,false,,,,,
a8a72ae78ac59e9fd2bd294d4a62a211b432e276142a73b48dfbc1178ed821a7,2020-09-01 21:01:39 UTC,Android,fr,fr,false,false,Europe,France,Hauts-de-France,Villeneuve-d'Ascq,
985cbf3ca2d72d69b6401a0dfff70bb4b6a3aec1c82629624499e0c99f647355,2020-06-05 16:29:10 UTC,iOS,es,es,false,false,Europe,Andorra,Andorra la Vella,,.
5c88290be3ff59a570daa57ea4dd6b43669c585362c85f1c23b932374e29fd59,2019-11-19 08:18:49 UTC,iOS,ch,fr,false,false,Europe,Switzerland,Zurich,Zurich,
525e3e16636d0daaa1800062ac7535195128560c7b121a4173e17943a78d10f9,2021-03-23 10:14:04 UTC,iOS,it,it,false,false,Europe,Italy,Lombardy,Milan,
b55d69da369e3e20a68b71c9ad1fb29dc022274322eead7cafb67e78d7875fe0,2019-10-19 08:14:05 UTC,Android,fr,fr,false,false,Europe,France,Ile-de-France,Paris,
504eb07dbd74a5958e93274b03364cc7014b70d0079f77e578a5c496a1e155d1,2018-07-23 17:55:15 UTC,Android,fr,fr,false,false,Europe,France,Auvergne-Rhone-Alpes,Chambery,
8753bb893e4285784b40e29fb9234462d9d0d1bf47e30bc92d35522d68286bef,2021-07-20 08:11:27 UTC,Android,fr,fr,false,false,Europe,France,Pays de la Loire,Orvault,
cf4542bf57d8f0ef2b32d028cc5e4c9f147c7f538f88a1db908aada7b14dac05,2018-08-25 15:09:14 UTC,Android,fr,fr,false,false,Europe,France,Grand Est,Strasbourg,
1e86330182d71ce4fdd854d76076077a5eb66b127b62d14cf8ca4f70325299a9,2019-07-27 11:48:04 UTC,iOS,fr,fr,false,false,Europe,France,Ile-de-France,Taverny,
42fd90d98f14a57fc64421b2cc276af6328230ee7abd928adf26ec74e3bb70bb,2020-04-28 18:38:29 UTC,Android,fr,fr,false,false,Europe,France,Occitanie,Toulouse,
ae5fe97e110e1ab5854536b84985721a9743c54ed71c15763be130288b4d1326,2019-09-19 10:37:09 UTC,iOS,fr,fr,false,false,Europe,France,Provence-Alpes-Cote d'Azur,(not set),.
db4092558b37e30f0e6f31731cb0b27445d2cfbf9ecd3339f7783ef2efc79eaa,2018-12-04 10:42:57 UTC,iOS,fr,fr,false,false,Europe,France,Auvergne-Rhone-Alpes,Rillieux-la-Pape,
4508ee3653f7c5b333bcf15d49fe112a71124d84a56db04fd3291d0c1853ffc2,2019-09-12 17:22:16 UTC,Android,fr,fr,false,false,Europe,France,Provence-Alpes-Cote d'Azur,(not set),
f7bff9c2b664fde5ce42ce6646d52fa681f82444db362d8abb13f347a5739084,2018-01-28 09:40:14 UTC,Android,fr,fr,false,false,Europe,France,Brittany,Rennes,
372018a5ef38d32617042a064d5fc84cd9681359b359c375e96c9a8ddb15f954,2021-02-26 19:20:03 UTC,iOS,it,it,false,false,Europe,Italy,Lazio,Rome,
a11b9717b352159a30a4a5a48b0ece778c5e57d7b82844e69c8ac3cb3bf29d9d,2017-11-26 12:44:15 UTC,iOS,fr,fr,false,false,Europe,France,,,
300a3a9b338388db7771346127aff8736857f6586dc02cb358c1b6e8f509c803,2021-01-21 18:06:22 UTC,iOS,fr,fr,false,false,Europe,France,Grand Est,Strasbourg,
a53ec8dafa74178dbda0a454bee9c13819691a1a0a6ba7d13c6674c02986b27e,2021-06-26 00:33:25 UTC,Android,gp,fr,false,false,Americas,Guadeloupe,Basse-Terre,Baie-Mahault,
